date,ticker,horizon,screening_profile,validation_bucket,high_probability_score,calibrated_win_probability,signal_score,point_in_time_universe_member,forward_return_5d,forward_return_20d,forward_return_60d
2025-10-06,BKNG,long,default,filtered_out,44.37,0.253,48.42,False,-0.0306316661608674,-0.0718319742177713,-0.0100175887766273
2025-11-03,BKNG,short,default,filtered_out,44.34,0.5715,34.5,False,-0.0143423872607929,0.0207770481496065,-0.0038048084411782
2025-11-03,BKNG,medium,default,filtered_out,43.16,0.2658,39.5,False,-0.0143423872607929,0.0207770481496065,-0.0038048084411782
2025-11-03,BKNG,long,default,filtered_out,42.98,0.05,45.12,False,-0.0143423872607929,0.0207770481496065,-0.0038048084411782
2025-12-02,BKNG,short,default,early_watchlist,48.21,0.579,46.6,False,0.0137546043313265,0.0448885705638244,-0.1844752414055784
2025-12-02,BKNG,medium,default,filtered_out,44.27,0.2681,42.97,False,0.0137546043313265,0.0448885705638244,-0.1844752414055784
2025-12-02,BKNG,long,default,filtered_out,43.36,0.05,46.29,False,0.0137546043313265,0.0448885705638244,-0.1844752414055784
2025-12-31,BKNG,short,default,filtered_out,43.53,0.5296,42.48,False,0.0167441106776682,-0.0660071191565117,-0.229383981031806
2025-12-31,BKNG,medium,default,early_watchlist,50.29,0.2755,47.27,False,0.0167441106776682,-0.0660071191565117,-0.229383981031806
2025-12-31,BKNG,long,default,filtered_out,40.03,0.05,46.06,False,0.0167441106776682,-0.0660071191565117,-0.229383981031806
2026-01-30,BKNG,short,default,filtered_out,43.55,0.4201,35.09,False,-0.1088938825724513,-0.1643515619982997,-0.1314419373680301
2026-01-30,BKNG,medium,default,filtered_out,43.92,0.2674,41.87,False,-0.1088938825724513,-0.1643515619982997,-0.1314419373680301
2026-01-30,BKNG,long,default,filtered_out,43.29,0.05,46.07,False,-0.1088938825724513,-0.1643515619982997,-0.1314419373680301
2026-03-02,BKNG,short,default,early_watchlist,45.81,0.4216,42.48,False,0.0648456824399119,-0.0126506129610849,0.0093479969946872
2026-03-02,BKNG,medium,default,filtered_out,44.43,0.4885,39.5,False,0.0648456824399119,-0.0126506129610849,0.0093479969946872
2026-03-02,BKNG,long,default,filtered_out,42.96,0.05,45.26,False,0.0648456824399119,-0.0126506129610849,0.0093479969946872
2026-03-30,BKNG,short,default,filtered_out,44.25,0.3711,38.31,False,0.0528815691437833,0.0526994341275881,0.0776847175068251
2026-03-30,BKNG,medium,default,filtered_out,43.31,0.2661,39.98,False,0.0528815691437833,0.0526994341275881,0.0776847175068251
2026-03-30,BKNG,long,default,filtered_out,42.98,0.05,45.12,False,0.0528815691437833,0.0526994341275881,0.0776847175068251
2025-03-17,TJX,short,default,filtered_out,38.21,0.2437,34.5,False,0.0443589762498202,0.1404122584655085,0.0909408637414335
2025-03-17,TJX,medium,default,filtered_out,39.74,0.4525,39.5,False,0.0443589762498202,0.1404122584655085,0.0909408637414335
2025-03-17,TJX,long,default,filtered_out,41.74,0.4571,45.76,False,0.0443589762498202,0.1404122584655085,0.0909408637414335
2025-04-14,TJX,short,default,early_watchlist,47.18,0.254,57.42,False,-0.0374426260240109,0.0016844530688737,-0.0496794413552983
2025-04-14,TJX,medium,default,filtered_out,41.34,0.4484,55.07,False,-0.0374426260240109,0.0016844530688737,-0.0496794413552983
2025-04-14,TJX,long,default,early_watchlist,55.81,0.7489,54.5,False,-0.0374426260240109,0.0016844530688737,-0.0496794413552983
2025-05-13,TJX,short,default,early_watchlist,51.82,0.2768,42.32,False,0.034767742831111,-0.0449889439703062,0.0074664327377875
2025-05-13,TJX,medium,default,early_watchlist,54.24,0.4861,47.02,False,0.034767742831111,-0.0449889439703062,0.0074664327377875
2025-05-13,TJX,long,default,early_watchlist,63.23,0.7737,52.31,False,0.034767742831111,-0.0449889439703062,0.0074664327377875
2025-06-11,TJX,short,default,filtered_out,34.97,0.232,34.5,False,-0.0159801355264128,-0.0065848199751074,0.1345681653702541
2025-06-11,TJX,medium,default,filtered_out,37.76,0.4414,43.49,False,-0.0159801355264128,-0.0065848199751074,0.1345681653702541
2025-06-11,TJX,long,default,early_watchlist,55.17,0.4999,51.03,False,-0.0159801355264128,-0.0065848199751074,0.1345681653702541
2025-07-11,TJX,short,default,filtered_out,38.29,0.2466,34.5,False,-0.0124483990599215,0.0619190056262879,0.1604964027914697
2025-07-11,TJX,medium,default,filtered_out,39.8,0.4532,39.5,False,-0.0124483990599215,0.0619190056262879,0.1604964027914697
2025-07-11,TJX,long,default,filtered_out,43.73,0.4075,45.19,False,-0.0124483990599215,0.0619190056262879,0.1604964027914697
2025-08-08,TJX,short,default,early_watchlist,47.9,0.4751,45.78,False,0.0127248445621044,0.075495030443289,0.0722115029980059
2025-08-08,TJX,medium,default,filtered_out,40.31,0.4472,48.34,False,0.0127248445621044,0.075495030443289,0.0722115029980059
2025-08-08,TJX,long,default,early_watchlist,55.54,0.7464,49.15,False,0.0127248445621044,0.075495030443289,0.0722115029980059
2025-09-08,TJX,short,default,early_watchlist,51.03,0.5886,47.33,False,0.0023431259469004,0.0161176543509893,0.0682558688286743
2025-09-08,TJX,medium,default,early_watchlist,55.39,0.7241,56.84,False,0.0023431259469004,0.0161176543509893,0.0682558688286743
2025-09-08,TJX,long,default,early_watchlist,60.1,0.7973,59.36,False,0.0023431259469004,0.0161176543509893,0.0682558688286743
2025-10-06,TJX,short,default,filtered_out,41.88,0.5665,39.81,False,-0.0120187665538431,-0.0188666071295819,0.0764691130663459
2025-10-06,TJX,medium,default,early_watchlist,55.6,0.7424,51.67,False,-0.0120187665538431,-0.0188666071295819,0.0764691130663459
2025-10-06,TJX,long,default,early_watchlist,60.76,0.8111,59.53,False,-0.0120187665538431,-0.0188666071295819,0.0764691130663459
2025-11-03,TJX,short,default,filtered_out,40.53,0.5637,35.6,False,0.0449398394527176,0.0715272825880641,0.0700272301191236
2025-11-03,TJX,medium,default,filtered_out,44.54,0.6964,43.76,False,0.0449398394527176,0.0715272825880641,0.0700272301191236
